                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2916,                 4.1859,                 1.2839,                0.00333,                0.84211,                0.54085,                0.30753,                 1.0437,                 3.8732,                 1.0661,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.0057,                 2.5004,                 1.0405,                0.00375,                0.94737,                0.03526,                0.01717,                 1.0895,                 3.8673,                0.99142,             0.00037842,             0.00037842,             0.00037842
                      3,                 1.0313,                 2.1453,                 0.9925,                0.00375,                0.94737,                0.03282,                0.01945,                 1.1877,                 3.8737,                 1.0141,             0.00051328,             0.00051328,             0.00051328
                      4,                0.92637,                 1.8897,                 0.9802,                0.00375,                0.94737,                0.57745,                0.41152,                 1.1228,                 3.6336,                 1.0211,             0.00060458,             0.00060458,             0.00060458
                      5,                0.90853,                  1.804,                0.97097,                0.00619,                0.89474,                0.77886,                0.58126,                 1.0316,                 3.2574,                0.98283,             0.00065232,             0.00065232,             0.00065232
                      6,                0.93019,                 1.7436,                0.99361,                      1,                0.71115,                0.87906,                0.63664,                  1.041,                 3.1288,                0.99417,              0.0006565,              0.0006565,              0.0006565
                      7,                0.87411,                 1.5621,                 0.9678,                      1,                0.79729,                0.94248,                0.68008,                 1.0541,                 2.5104,                  1.002,             0.00061712,             0.00061712,             0.00061712
                      8,                0.89407,                 1.5191,                0.94521,                0.94309,                0.87299,                0.92563,                 0.7166,                0.95373,                 2.5073,                0.93939,             0.00053418,             0.00053418,             0.00053418
                      9,                0.79456,                 1.4546,                0.92011,                0.94727,                0.94561,                0.93142,                0.70137,                0.94316,                 2.3062,                 0.9402,             0.00040768,             0.00040768,             0.00040768
                     10,                0.72865,                 1.3991,                0.89339,                0.94482,                0.94737,                0.93691,                0.69635,                0.95603,                 2.0297,                0.94055,               0.000218,               0.000218,               0.000218
