                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4025,                 4.1125,                 1.3491,                0.00333,                0.84211,                0.45422,                0.23387,                 1.2948,                 3.9377,                 1.0847,                 0.0002,                 0.0002,                 0.0002
                      2,                  1.052,                 2.2983,                 1.0455,                0.00354,                0.89474,                0.43651,                0.20497,                 1.0445,                 3.7979,                0.97423,             0.00040614,             0.00040614,             0.00040614
                      3,                 1.1384,                 1.9029,                 1.0306,                0.00375,                0.94737,                0.02304,                0.01137,                 1.0947,                 3.8543,                0.99878,             0.00059776,             0.00059776,             0.00059776
                      4,                 1.0674,                 1.8222,                0.99481,                0.00354,                0.89474,                0.20404,                0.14102,                 1.0802,                 3.6783,                 1.0087,             0.00077486,             0.00077486,             0.00077486
                      5,                 1.0427,                 1.5047,                0.98937,                0.00375,                0.94737,                 0.0269,                0.01739,                 1.0767,                 3.6567,                 1.0986,             0.00093744,             0.00093744,             0.00093744
                      6,                0.95178,                 1.4476,                 1.0093,                0.35505,                0.26316,                0.28375,                0.17326,                   1.22,                 3.5534,                 1.0728,              0.0010855,              0.0010855,              0.0010855
                      7,                0.99181,                 1.3751,                0.97406,                0.18968,                0.31579,                0.11095,                0.05765,                  1.323,                 3.5067,                  1.096,               0.001219,               0.001219,               0.001219
                      8,                 1.0467,                 1.3882,                 1.0021,                0.91046,                0.63158,                 0.7532,                0.48982,                 1.1178,                 2.6295,                 1.0547,              0.0013381,              0.0013381,              0.0013381
                      9,                0.95957,                 1.3575,                 1.0075,                0.71131,                0.64908,                0.75658,                0.49522,                 1.1868,                  2.472,                0.98947,              0.0014426,              0.0014426,              0.0014426
                     10,                 1.0185,                 1.2426,                0.99988,                0.85492,                0.78947,                0.85642,                0.61093,                 1.1464,                 2.0656,                 1.0088,               0.001406,               0.001406,               0.001406
                     11,                0.99289,                 1.2899,                 1.0062,                0.84184,                0.42105,                 0.4795,                 0.3184,                 1.5412,                 3.0939,                 1.2639,               0.001406,               0.001406,               0.001406
                     12,                 1.0028,                 1.2297,                 1.0112,                0.49058,                0.52632,                0.47319,                0.32385,                 1.3485,                 3.1759,                 1.1826,                0.00134,                0.00134,                0.00134
                     13,                 0.9221,                 1.1607,                0.99033,                0.66272,                0.57895,                 0.6201,                0.41578,                 1.1809,                 2.3733,                 0.9726,               0.001274,               0.001274,               0.001274
                     14,                 1.0222,                  1.159,                0.98708,                0.98832,                0.84211,                0.92158,                0.61384,                 1.2345,                 1.6729,                0.98746,               0.001208,               0.001208,               0.001208
                     15,                 0.9929,                 1.1356,                 1.0372,                0.94645,                 0.9309,                0.93669,                0.72996,                0.91374,                 1.3043,                0.94201,               0.001142,               0.001142,               0.001142
                     16,                0.95625,                 1.0248,                0.98611,                0.82169,                0.89474,                0.90963,                0.66364,                 1.0322,                 1.3067,                 1.0113,               0.001076,               0.001076,               0.001076
                     17,                0.89402,                0.99455,                0.96127,                0.87908,                0.89474,                0.91586,                0.67494,                 1.0175,                  1.387,                0.96023,                0.00101,                0.00101,                0.00101
                     18,                0.87527,                 1.0138,                 0.9923,                0.84712,                0.94737,                0.92326,                0.67028,                0.96581,                 1.2794,                0.95569,               0.000944,               0.000944,               0.000944
                     19,                0.83917,                0.93652,                0.96194,                0.94326,                0.94737,                0.94264,                0.69648,                0.92238,                 1.0882,                 0.9269,               0.000878,               0.000878,               0.000878
                     20,                0.82344,                0.90207,                0.95558,                0.79716,                0.62111,                0.65814,                0.51935,                 0.9428,                 1.7873,                0.93892,               0.000812,               0.000812,               0.000812
                     21,                0.75903,                0.94343,                0.94183,                      1,                 0.8807,                0.93806,                0.73647,                0.94477,                 1.1335,                 0.9177,               0.000746,               0.000746,               0.000746
                     22,                 0.7514,                0.96884,                0.93817,                      1,                0.93768,                0.94625,                0.68963,                  1.037,                 1.2048,                0.93082,                0.00068,                0.00068,                0.00068
                     23,                0.74666,                0.89474,                0.93071,                0.94145,                0.94737,                0.95078,                 0.6918,                 0.9615,                 1.0278,                0.93216,               0.000614,               0.000614,               0.000614
                     24,                 0.6766,                 0.8562,                0.91496,                0.98855,                0.94737,                0.98154,                0.71123,                0.97221,                 0.9709,                0.95313,               0.000548,               0.000548,               0.000548
                     25,                 0.6285,                 0.8145,                 0.8852,                0.98909,                0.94737,                0.98818,                0.72701,                0.89893,                0.85864,                0.93078,               0.000482,               0.000482,               0.000482
                     26,                0.60415,                0.78525,                0.89465,                      1,                0.93646,                0.98154,                0.75221,                0.90274,                0.84484,                0.93876,               0.000416,               0.000416,               0.000416
                     27,                0.62523,                 0.7679,                0.89394,                      1,                0.93025,                   0.97,                 0.7384,                0.90903,                0.85761,                0.94152,                0.00035,                0.00035,                0.00035
                     28,                0.62868,                0.74391,                0.87453,                0.94683,                0.94737,                0.96083,                0.72753,                0.86829,                0.85766,                0.92931,               0.000284,               0.000284,               0.000284
                     29,                0.59979,                0.75131,                0.88189,                 0.9469,                0.94737,                  0.964,                0.72347,                 0.8527,                0.85341,                0.91172,               0.000218,               0.000218,               0.000218
                     30,                0.59699,                0.74611,                0.86989,                0.94337,                0.94737,                0.96554,                0.73826,                0.81394,                0.83497,                0.89369,               0.000152,               0.000152,               0.000152
